11_band1,11_band2,11_band3,11_band4,11_band5,21_band1,21_band2,21_band3,21_band4,21_band5,31_band1,31_band2,31_band3,31_band4,31_band5,12_band1,12_band2,12_band3,12_band4,12_band5,22_band1,22_band2,22_band3,22_band4,22_band5,32_band1,32_band2,32_band3,32_band4,32_band5,13_band1,13_band2,13_band3,13_band4,13_band5,23_band1,23_band2,23_band3,23_band4,23_band5,33_band1,33_band2,33_band3,33_band4,33_band5
0.062312193,0.0921819,0.113796666,0.17118676,0.22632149,0.05927335,0.09037629,0.10611368,0.16972038,0.23570359,0.057222575,0.08870026,0.098799564,0.16665488,0.23678254,0.060702916,0.08858622,0.11346328,0.15992863,0.21816571,0.056427896,0.0908967,0.10545557,0.15995735,0.22516713,0.053863667,0.089395754,0.09817424,0.15955193,0.22533521,0.05896202,0.08686895,0.11398654,0.14538991,0.20462655,0.06449186,0.08912005,0.11591454,0.15936416,0.20976782,0.06454172,0.095397115,0.11610217,0.16760486,0.2191115
0.056427896,0.0908967,0.10545557,0.15995735,0.22516713,0.053863667,0.089395754,0.09817424,0.15955193,0.22533521,0.051743083,0.08379103,0.08994182,0.14931731,0.22305055,0.06449186,0.08912005,0.11591454,0.15936416,0.20976782,0.06454172,0.095397115,0.11610217,0.16760486,0.2191115,0.05965814,0.09439812,0.112282515,0.16457471,0.22662596,0.06567857,0.09378095,0.11824973,0.15146883,0.21333255,0.063991636,0.093254544,0.12334554,0.1594034,0.21120295,0.060200974,0.084865116,0.12484275,0.16313162,0.2184964
0.057222575,0.08870026,0.098799564,0.16665488,0.23678254,0.05340275,0.08423512,0.092271574,0.16565688,0.23860411,0.051744077,0.080100976,0.08624038,0.15091597,0.23322234,0.053863667,0.089395754,0.09817424,0.15955193,0.22533521,0.051743083,0.08379103,0.08994182,0.14931731,0.22305055,0.047757618,0.074894965,0.082732104,0.1425665,0.21693572,0.056720067,0.09788981,0.104239084,0.16213143,0.21762681,0.052753776,0.09418143,0.0947882,0.14681512,0.21920578,0.045627072,0.0765174,0.089576,0.13525991,0.21144229
0.059543952,0.10587533,0.105590746,0.20249665,0.2850126,0.061789904,0.10446235,0.099804156,0.20767197,0.304907,0.061458085,0.104065545,0.093408786,0.20426098,0.3109193,0.058170535,0.09868573,0.09913707,0.1906948,0.27635592,0.056255076,0.09619123,0.09137014,0.18477742,0.27421218,0.056575004,0.09222441,0.090399124,0.17004907,0.2635363,0.058847144,0.09379349,0.100479454,0.18021399,0.25882572,0.056994114,0.08882793,0.0923974,0.17507894,0.26003814,0.054333884,0.084480435,0.08875601,0.16034691,0.24775635
0.05340275,0.08423512,0.092271574,0.16565688,0.23860411,0.051744077,0.080100976,0.08624038,0.15091597,0.23322234,0.04918719,0.0766008,0.08173729,0.14539659,0.22600685,0.051743083,0.08379103,0.08994182,0.14931731,0.22305055,0.047757618,0.074894965,0.082732104,0.1425665,0.21693572,0.04502107,0.07276953,0.078149684,0.13468072,0.21219862,0.052753776,0.09418143,0.0947882,0.14681512,0.21920578,0.045627072,0.0765174,0.089576,0.13525991,0.21144229,0.0456361,0.07505858,0.085020766,0.12662816,0.1975012
0.052753776,0.09418143,0.0947882,0.14681512,0.21920578,0.045627072,0.0765174,0.089576,0.13525991,0.21144229,0.0456361,0.07505858,0.085020766,0.12662816,0.1975012,0.05965814,0.09439812,0.112282515,0.16457471,0.22662596,0.051420238,0.0831328,0.10389236,0.1442399,0.22345628,0.05136563,0.081102416,0.09592719,0.14280544,0.20453067,0.05871654,0.08707035,0.1217981,0.15270892,0.21727668,0.05978286,0.084964864,0.11041384,0.1530238,0.21071944,0.058538973,0.08341995,0.10671234,0.15270302,0.21589823
0.05721822,0.096764386,0.090707414,0.19519398,0.2902613,0.05850734,0.095752135,0.09018242,0.18543047,0.28011918,0.058030706,0.09332061,0.091197595,0.1719909,0.27282685,0.056255076,0.09619123,0.09137014,0.18477742,0.27421218,0.056575004,0.09222441,0.090399124,0.17004907,0.2635363,0.053825505,0.08871353,0.09128297,0.16280212,0.24842988,0.051744077,0.080100976,0.08624038,0.15091597,0.23322234,0.04918719,0.0766008,0.08173729,0.14539659,0.22600685,0.050522942,0.07749856,0.08377381,0.1408649,0.21351838
0.051744077,0.080100976,0.08624038,0.15091597,0.23322234,0.04918719,0.0766008,0.08173729,0.14539659,0.22600685,0.050522942,0.07749856,0.08377381,0.1408649,0.21351838,0.047757618,0.074894965,0.082732104,0.1425665,0.21693572,0.04502107,0.07276953,0.078149684,0.13468072,0.21219862,0.047188845,0.07692472,0.081531025,0.13882177,0.20176226,0.051420238,0.0831328,0.10389236,0.1442399,0.22345628,0.05136563,0.081102416,0.09592719,0.14280544,0.20453067,0.05269527,0.08342645,0.09420262,0.1477892,0.21027584
0.051420238,0.0831328,0.10389236,0.1442399,0.22345628,0.05136563,0.081102416,0.09592719,0.14280544,0.20453067,0.05269527,0.08342645,0.09420262,0.1477892,0.21027584,0.05978286,0.084964864,0.11041384,0.1530238,0.21071944,0.058538973,0.08341995,0.10671234,0.15270302,0.21589823,0.060815886,0.0894612,0.10811154,0.15356381,0.21463221,0.059047643,0.083178386,0.10808643,0.1516381,0.20570691,0.05628538,0.082491316,0.107554965,0.1464522,0.20561858,0.061705727,0.08699027,0.10934558,0.14971775,0.20546888
0.061458085,0.104065545,0.093408786,0.20426098,0.3109193,0.062492177,0.10004928,0.09551437,0.18877546,0.29505798,0.05725882,0.09694517,0.08977665,0.17750375,0.28084284,0.056575004,0.09222441,0.090399124,0.17004907,0.2635363,0.053825505,0.08871353,0.09128297,0.16280212,0.24842988,0.054399963,0.09210302,0.08836019,0.1603667,0.24046825,0.054333884,0.084480435,0.08875601,0.16034691,0.24775635,0.052768715,0.082639955,0.08758717,0.15480757,0.22977205,0.055222947,0.08902277,0.08772101,0.1614849,0.22850811
