11_band1,11_band2,11_band3,11_band4,11_band5,21_band1,21_band2,21_band3,21_band4,21_band5,31_band1,31_band2,31_band3,31_band4,31_band5,12_band1,12_band2,12_band3,12_band4,12_band5,22_band1,22_band2,22_band3,22_band4,22_band5,32_band1,32_band2,32_band3,32_band4,32_band5,13_band1,13_band2,13_band3,13_band4,13_band5,23_band1,23_band2,23_band3,23_band4,23_band5,33_band1,33_band2,33_band3,33_band4,33_band5
0.13327934,0.1395426,0.2764851,0.27239743,0.3048059,0.0753696,0.09108701,0.16082194,0.17539535,0.23412724,0.062077336,0.08959177,0.12322509,0.17001592,0.22535276,0.068079226,0.086214975,0.16115104,0.18205713,0.25569504,0.05836566,0.0811564,0.10712038,0.15696485,0.22418083,0.06288269,0.08975116,0.121517114,0.1655631,0.22821778,0.04374007,0.0784836,0.105513975,0.17417459,0.2707276,0.052765273,0.084129214,0.10234133,0.16047935,0.2366042,0.06601855,0.09126361,0.11999327,0.16486818,0.22525693
0.0753696,0.09108701,0.16082194,0.17539535,0.23412724,0.062077336,0.08959177,0.12322509,0.17001592,0.22535276,0.07324956,0.09999306,0.13759437,0.18841669,0.24326889,0.05836566,0.0811564,0.10712038,0.15696485,0.22418083,0.06288269,0.08975116,0.121517114,0.1655631,0.22821778,0.06988001,0.09641401,0.13470685,0.17987989,0.23846035,0.052765273,0.084129214,0.10234133,0.16047935,0.2366042,0.06601855,0.09126361,0.11999327,0.16486818,0.22525693,0.065066405,0.090891354,0.12765634,0.16928543,0.2331047
0.052765273,0.084129214,0.10234133,0.16047935,0.2366042,0.06601855,0.09126361,0.11999327,0.16486818,0.22525693,0.065066405,0.090891354,0.12765634,0.16928543,0.2331047,0.05203957,0.08538604,0.09778249,0.16719542,0.26059002,0.060015857,0.088575535,0.11510076,0.16001733,0.22808379,0.05596765,0.08183053,0.11747992,0.16133896,0.22480224,0.054135635,0.09336023,0.096067086,0.19427939,0.29752222,0.0548557,0.08411033,0.1039089,0.16520539,0.25648487,0.050484434,0.07819236,0.09704222,0.15558335,0.23364529
0.1579062,0.14648996,0.3693718,0.35171953,0.38237038,0.06763845,0.08113766,0.20014621,0.22533394,0.28486732,0.050753903,0.085085884,0.11733062,0.1946789,0.27387577,0.08521398,0.09245329,0.2410683,0.2273629,0.2782017,0.06155155,0.086612314,0.12755531,0.18456523,0.24528979,0.06328149,0.09368409,0.114761464,0.1883212,0.27174306,0.062077336,0.08959177,0.12322509,0.17001592,0.22535276,0.07324956,0.09999306,0.13759437,0.18841669,0.24326889,0.07123694,0.09873664,0.14062054,0.18801048,0.25555238
0.062077336,0.08959177,0.12322509,0.17001592,0.22535276,0.07324956,0.09999306,0.13759437,0.18841669,0.24326889,0.07123694,0.09873664,0.14062054,0.18801048,0.25555238,0.06288269,0.08975116,0.121517114,0.1655631,0.22821778,0.06988001,0.09641401,0.13470685,0.17987989,0.23846035,0.0648042,0.092462696,0.12998736,0.18113396,0.24492882,0.060015857,0.088575535,0.11510076,0.16001733,0.22808379,0.05596765,0.08183053,0.11747992,0.16133896,0.22480224,0.050138433,0.080381565,0.1073099,0.16374917,0.2298024
0.06185854,0.08691921,0.10735963,0.17471278,0.25717643,0.053602878,0.08040097,0.09718717,0.16419208,0.24727212,0.052643184,0.081118904,0.10120831,0.15655257,0.23635162,0.05939561,0.086595386,0.10994546,0.16916962,0.24602985,0.054950293,0.080472656,0.1032,0.16119657,0.2385669,0.052127857,0.08220204,0.10137332,0.15889803,0.23704384,0.05537322,0.086997196,0.10914212,0.17115662,0.24700914,0.05435337,0.084744334,0.108965985,0.1661755,0.24262619,0.056957442,0.08735704,0.10878369,0.16840303,0.25010255
0.05537322,0.086997196,0.10914212,0.17115662,0.24700914,0.05435337,0.084744334,0.108965985,0.1661755,0.24262619,0.056957442,0.08735704,0.10878369,0.16840303,0.25010255,0.055696618,0.08964741,0.10639178,0.18331267,0.2581292,0.054643203,0.08911767,0.1086508,0.17596526,0.2517169,0.060183674,0.09229872,0.11702068,0.18216798,0.25349697,0.07942943,0.11270913,0.13650851,0.19409713,0.27226934,0.06980442,0.1006967,0.12469811,0.18697578,0.2667506,0.0634582,0.092013545,0.11755847,0.16968901,0.24685119
0.07324956,0.09999306,0.13759437,0.18841669,0.24326889,0.07123694,0.09873664,0.14062054,0.18801048,0.25555238,0.06277954,0.08891516,0.1252761,0.17676911,0.24969879,0.06988001,0.09641401,0.13470685,0.17987989,0.23846035,0.0648042,0.092462696,0.12998736,0.18113396,0.24492882,0.058493048,0.088851444,0.12052019,0.17620867,0.24385037,0.065066405,0.090891354,0.12765634,0.16928543,0.2331047,0.057522587,0.08526643,0.12000068,0.16700752,0.23686467,0.05911115,0.08905974,0.11889768,0.17448932,0.24157904
0.065066405,0.090891354,0.12765634,0.16928543,0.2331047,0.057522587,0.08526643,0.12000068,0.16700752,0.23686467,0.05911115,0.08905974,0.11889768,0.17448932,0.24157904,0.05596765,0.08183053,0.11747992,0.16133896,0.22480224,0.050138433,0.080381565,0.1073099,0.16374917,0.2298024,0.05497469,0.08817416,0.112968385,0.17225829,0.24292505,0.050484434,0.07819236,0.09704222,0.15558335,0.23364529,0.05433656,0.08130274,0.10090992,0.15713802,0.22766109,0.05632118,0.0834339,0.1092115,0.16196647,0.22933874
0.054950293,0.080472656,0.1032,0.16119657,0.2385669,0.052127857,0.08220204,0.10137332,0.15889803,0.23704384,0.061438907,0.09149621,0.1133088,0.16901568,0.24107142,0.054643203,0.08911767,0.1086508,0.17596526,0.2517169,0.060183674,0.09229872,0.11702068,0.18216798,0.25349697,0.0635072,0.093391314,0.12182042,0.17909199,0.2496199,0.06125386,0.09645409,0.11728155,0.17919697,0.26183417,0.062724404,0.092258215,0.12214445,0.17431262,0.2449505,0.062015824,0.0890581,0.12043634,0.16762243,0.2395873
0.050753903,0.085085884,0.11733062,0.1946789,0.27387577,0.05645051,0.08961823,0.10535381,0.19379404,0.27931908,0.0566955,0.08604554,0.10287035,0.18413176,0.2634882,0.06328149,0.09368409,0.114761464,0.1883212,0.27174306,0.063261695,0.093895234,0.115047306,0.18149935,0.26759294,0.06221412,0.08747036,0.11512191,0.17157146,0.24729371,0.07123694,0.09873664,0.14062054,0.18801048,0.25555238,0.06277954,0.08891516,0.1252761,0.17676911,0.24969879,0.06088794,0.08969139,0.114962846,0.17333116,0.25110215
0.07123694,0.09873664,0.14062054,0.18801048,0.25555238,0.06277954,0.08891516,0.1252761,0.17676911,0.24969879,0.06088794,0.08969139,0.114962846,0.17333116,0.25110215,0.0648042,0.092462696,0.12998736,0.18113396,0.24492882,0.058493048,0.088851444,0.12052019,0.17620867,0.24385037,0.062475555,0.09382153,0.11448048,0.18908472,0.26630476,0.050138433,0.080381565,0.1073099,0.16374917,0.2298024,0.05497469,0.08817416,0.112968385,0.17225829,0.24292505,0.06655503,0.09671728,0.1251149,0.18967912,0.26457474
