11_band1,11_band2,11_band3,11_band4,11_band5,21_band1,21_band2,21_band3,21_band4,21_band5,31_band1,31_band2,31_band3,31_band4,31_band5,12_band1,12_band2,12_band3,12_band4,12_band5,22_band1,22_band2,22_band3,22_band4,22_band5,32_band1,32_band2,32_band3,32_band4,32_band5,13_band1,13_band2,13_band3,13_band4,13_band5,23_band1,23_band2,23_band3,23_band4,23_band5,33_band1,33_band2,33_band3,33_band4,33_band5
0.10594852,0.11594638,0.20755114,0.24448662,0.3312817,0.06556956,0.09535574,0.11690921,0.19665737,0.31636214,0.050392006,0.09674227,0.095128275,0.20543693,0.34071523,0.058539584,0.100238316,0.104004204,0.21194296,0.33557814,0.048374407,0.0971482,0.08370105,0.21077165,0.36263695,0.05065555,0.092320345,0.0818429,0.20180537,0.34972298,0.10348256,0.12150347,0.15335582,0.22310333,0.33400404,0.056712613,0.093865566,0.099928446,0.19418485,0.31219876,0.05222122,0.08687419,0.09105999,0.1882096,0.30483046
0.10137298,0.10179584,0.2304311,0.24554858,0.3136176,0.054334108,0.08582057,0.107585885,0.19476527,0.31585172,0.04834293,0.10079022,0.08142305,0.23291895,0.362841,0.06556956,0.09535574,0.11690921,0.19665737,0.31636214,0.050392006,0.09674227,0.095128275,0.20543693,0.34071523,0.048554588,0.099170595,0.0842142,0.22332273,0.36966732,0.048374407,0.0971482,0.08370105,0.21077165,0.36263695,0.05065555,0.092320345,0.0818429,0.20180537,0.34972298,0.05110908,0.08850168,0.08686946,0.19338539,0.3151846
0.06556956,0.09535574,0.11690921,0.19665737,0.31636214,0.050392006,0.09674227,0.095128275,0.20543693,0.34071523,0.048554588,0.099170595,0.0842142,0.22332273,0.36966732,0.048374407,0.0971482,0.08370105,0.21077165,0.36263695,0.05065555,0.092320345,0.0818429,0.20180537,0.34972298,0.05110908,0.08850168,0.08686946,0.19338539,0.3151846,0.056712613,0.093865566,0.099928446,0.19418485,0.31219876,0.05222122,0.08687419,0.09105999,0.1882096,0.30483046,0.051491328,0.08398539,0.091685876,0.18228886,0.2872466
0.12620091,0.113684565,0.38737327,0.36491978,0.4198144,0.056511603,0.076931134,0.17210883,0.21880583,0.3039499,0.04374007,0.0784836,0.105513975,0.17417459,0.2707276,0.060046617,0.085171536,0.20698962,0.24301817,0.33795136,0.04102841,0.08537055,0.10331974,0.20744368,0.34074727,0.047633223,0.08966365,0.08302705,0.20100996,0.3200399,0.050392006,0.09674227,0.095128275,0.20543693,0.34071523,0.048554588,0.099170595,0.0842142,0.22332273,0.36966732,0.049802538,0.09828243,0.0844146,0.22027522,0.35327342
0.060046617,0.085171536,0.20698962,0.24301817,0.33795136,0.04102841,0.08537055,0.10331974,0.20744368,0.34074727,0.047633223,0.08966365,0.08302705,0.20100996,0.3200399,0.050392006,0.09674227,0.095128275,0.20543693,0.34071523,0.048554588,0.099170595,0.0842142,0.22332273,0.36966732,0.049802538,0.09828243,0.0844146,0.22027522,0.35327342,0.049713127,0.09854083,0.08273758,0.21124315,0.37073225,0.04959896,0.09350261,0.083300196,0.20049542,0.3410173,0.052702427,0.09391631,0.08551143,0.1930789,0.31767252
0.054334108,0.08582057,0.107585885,0.19476527,0.31585172,0.04834293,0.10079022,0.08142305,0.23291895,0.362841,0.052150723,0.09924728,0.08571546,0.2282575,0.36311254,0.050392006,0.09674227,0.095128275,0.20543693,0.34071523,0.048554588,0.099170595,0.0842142,0.22332273,0.36966732,0.049802538,0.09828243,0.0844146,0.22027522,0.35327342,0.05065555,0.092320345,0.0818429,0.20180537,0.34972298,0.05110908,0.08850168,0.08686946,0.19338539,0.3151846,0.05306606,0.09019214,0.09261679,0.19049603,0.29023898
0.050392006,0.09674227,0.095128275,0.20543693,0.34071523,0.048554588,0.099170595,0.0842142,0.22332273,0.36966732,0.049802538,0.09828243,0.0844146,0.22027522,0.35327342,0.05065555,0.092320345,0.0818429,0.20180537,0.34972298,0.05110908,0.08850168,0.08686946,0.19338539,0.3151846,0.05306606,0.09019214,0.09261679,0.19049603,0.29023898,0.05222122,0.08687419,0.09105999,0.1882096,0.30483046,0.051491328,0.08398539,0.091685876,0.18228886,0.2872466,0.04989941,0.08508716,0.09452659,0.1774012,0.27097484
0.05065555,0.092320345,0.0818429,0.20180537,0.34972298,0.05110908,0.08850168,0.08686946,0.19338539,0.3151846,0.05306606,0.09019214,0.09261679,0.19049603,0.29023898,0.05222122,0.08687419,0.09105999,0.1882096,0.30483046,0.051491328,0.08398539,0.091685876,0.18228886,0.2872466,0.04989941,0.08508716,0.09452659,0.1774012,0.27097484,0.05641402,0.085903905,0.0992403,0.18098791,0.27501547,0.052472066,0.08358227,0.09559948,0.17211336,0.269277,0.049183063,0.08074185,0.0928283,0.16454074,0.25197792
0.10848707,0.10937555,0.32475063,0.31607053,0.35125792,0.068079226,0.086214975,0.16115104,0.18205713,0.25569504,0.05836566,0.0811564,0.10712038,0.15696485,0.22418083,0.04102841,0.08537055,0.10331974,0.20744368,0.34074727,0.047633223,0.08966365,0.08302705,0.20100996,0.3200399,0.05203957,0.08538604,0.09778249,0.16719542,0.26059002,0.04834293,0.10079022,0.08142305,0.23291895,0.362841,0.052150723,0.09924728,0.08571546,0.2282575,0.36311254,0.055132646,0.091826245,0.096064985,0.18437095,0.2867533
0.056511603,0.076931134,0.17210883,0.21880583,0.3039499,0.04374007,0.0784836,0.105513975,0.17417459,0.2707276,0.052765273,0.084129214,0.10234133,0.16047935,0.2366042,0.04102841,0.08537055,0.10331974,0.20744368,0.34074727,0.047633223,0.08966365,0.08302705,0.20100996,0.3200399,0.05203957,0.08538604,0.09778249,0.16719542,0.26059002,0.048554588,0.099170595,0.0842142,0.22332273,0.36966732,0.049802538,0.09828243,0.0844146,0.22027522,0.35327342,0.054135635,0.09336023,0.096067086,0.19427939,0.29752222
0.04102841,0.08537055,0.10331974,0.20744368,0.34074727,0.047633223,0.08966365,0.08302705,0.20100996,0.3200399,0.05203957,0.08538604,0.09778249,0.16719542,0.26059002,0.048554588,0.099170595,0.0842142,0.22332273,0.36966732,0.049802538,0.09828243,0.0844146,0.22027522,0.35327342,0.054135635,0.09336023,0.096067086,0.19427939,0.29752222,0.04959896,0.09350261,0.083300196,0.20049542,0.3410173,0.052702427,0.09391631,0.08551143,0.1930789,0.31767252,0.058341697,0.094639726,0.09698205,0.18953225,0.2925372
0.04834293,0.10079022,0.08142305,0.23291895,0.362841,0.052150723,0.09924728,0.08571546,0.2282575,0.36311254,0.055132646,0.091826245,0.096064985,0.18437095,0.2867533,0.048554588,0.099170595,0.0842142,0.22332273,0.36966732,0.049802538,0.09828243,0.0844146,0.22027522,0.35327342,0.054135635,0.09336023,0.096067086,0.19427939,0.29752222,0.05110908,0.08850168,0.08686946,0.19338539,0.3151846,0.05306606,0.09019214,0.09261679,0.19049603,0.29023898,0.06278286,0.09300556,0.10337665,0.18903191,0.2757734
0.048554588,0.099170595,0.0842142,0.22332273,0.36966732,0.049802538,0.09828243,0.0844146,0.22027522,0.35327342,0.054135635,0.09336023,0.096067086,0.19427939,0.29752222,0.05110908,0.08850168,0.08686946,0.19338539,0.3151846,0.05306606,0.09019214,0.09261679,0.19049603,0.29023898,0.06278286,0.09300556,0.10337665,0.18903191,0.2757734,0.051491328,0.08398539,0.091685876,0.18228886,0.2872466,0.04989941,0.08508716,0.09452659,0.1774012,0.27097484,0.05475426,0.08753992,0.10445544,0.1746858,0.25696686
0.05110908,0.08850168,0.08686946,0.19338539,0.3151846,0.05306606,0.09019214,0.09261679,0.19049603,0.29023898,0.06278286,0.09300556,0.10337665,0.18903191,0.2757734,0.051491328,0.08398539,0.091685876,0.18228886,0.2872466,0.04989941,0.08508716,0.09452659,0.1774012,0.27097484,0.05475426,0.08753992,0.10445544,0.1746858,0.25696686,0.052472066,0.08358227,0.09559948,0.17211336,0.269277,0.049183063,0.08074185,0.0928283,0.16454074,0.25197792,0.05247004,0.08413942,0.10217541,0.16470712,0.24925336
0.05110908,0.08850168,0.08686946,0.19338539,0.3151846,0.05306606,0.09019214,0.09261679,0.19049603,0.29023898,0.06278286,0.09300556,0.10337665,0.18903191,0.2757734,0.051491328,0.08398539,0.091685876,0.18228886,0.2872466,0.04989941,0.08508716,0.09452659,0.1774012,0.27097484,0.05475426,0.08753992,0.10445544,0.1746858,0.25696686,0.058720797,0.089215584,0.09804798,0.18038274,0.2820101,0.05327388,0.08525231,0.095727995,0.16970499,0.25922826,0.05443949,0.086535685,0.10117761,0.17239396,0.25685084
0.068079226,0.086214975,0.16115104,0.18205713,0.25569504,0.05836566,0.0811564,0.10712038,0.15696485,0.22418083,0.06288269,0.08975116,0.121517114,0.1655631,0.22821778,0.047633223,0.08966365,0.08302705,0.20100996,0.3200399,0.05203957,0.08538604,0.09778249,0.16719542,0.26059002,0.060015857,0.088575535,0.11510076,0.16001733,0.22808379,0.052150723,0.09924728,0.08571546,0.2282575,0.36311254,0.055132646,0.091826245,0.096064985,0.18437095,0.2867533,0.05666037,0.081496194,0.10518456,0.15734878,0.23728822
0.04374007,0.0784836,0.105513975,0.17417459,0.2707276,0.052765273,0.084129214,0.10234133,0.16047935,0.2366042,0.06601855,0.09126361,0.11999327,0.16486818,0.22525693,0.047633223,0.08966365,0.08302705,0.20100996,0.3200399,0.05203957,0.08538604,0.09778249,0.16719542,0.26059002,0.060015857,0.088575535,0.11510076,0.16001733,0.22808379,0.049802538,0.09828243,0.0844146,0.22027522,0.35327342,0.054135635,0.09336023,0.096067086,0.19427939,0.29752222,0.0548557,0.08411033,0.1039089,0.16520539,0.25648487
